timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/12/30 19:44:12.972, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:12.978, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:12.984, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:12.989, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:12.992, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:12.997, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:13.002, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:13.006, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:14.012, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:14.016, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:14.022, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:14.026, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:14.030, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:14.034, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:14.038, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:14.042, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:15.048, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:15.051, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:15.056, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:15.061, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:15.065, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:15.069, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:15.073, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:15.078, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:16.083, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:16.087, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:16.091, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:16.095, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:16.100, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:16.104, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:16.108, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:16.113, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:17.118, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:17.122, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:17.126, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:17.130, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:17.135, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:17.139, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:17.143, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:17.147, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:18.152, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:18.156, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:18.161, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:18.164, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:18.169, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:18.174, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:18.178, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:18.182, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:19.187, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:19.190, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:19.195, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:19.200, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:19.204, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:19.208, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:19.212, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:19.217, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:20.222, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:20.226, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:20.230, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:20.235, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:20.239, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:20.244, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:20.248, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:20.252, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:21.257, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:21.261, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:21.265, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:21.269, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:21.273, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:21.278, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:21.282, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:21.286, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:22.291, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:22.295, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:22.300, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:22.304, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:22.309, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:22.312, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:22.317, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:22.322, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:23.327, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:23.331, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:23.335, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:23.340, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:23.344, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:23.348, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:23.352, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:23.357, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:24.361, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:24.365, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:24.370, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:24.373, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:24.378, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:24.382, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:24.386, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:24.390, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:25.396, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:25.400, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:25.405, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:25.409, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:25.413, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:25.418, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:25.422, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:25.426, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:26.431, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:26.436, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:26.439, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:26.444, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:26.448, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:26.452, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:26.456, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:26.460, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:27.466, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:27.470, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:27.475, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:27.479, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:27.483, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:27.487, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:27.491, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:27.495, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:28.501, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:28.505, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:28.508, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:28.513, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:28.517, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:28.522, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:28.526, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:28.530, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:29.535, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:29.539, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:29.543, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:29.548, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:29.552, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:29.557, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:29.561, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:29.564, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:30.570, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:30.574, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:30.579, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:30.583, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:30.587, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:30.592, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:30.596, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:30.600, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:31.606, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:31.610, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:31.614, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:31.618, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:31.622, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:31.627, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:31.631, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:31.635, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:32.640, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 4434 MiB
2025/12/30 19:44:32.644, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:32.649, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:32.653, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:32.657, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:32.661, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:32.666, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:32.670, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:33.674, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4546 MiB
2025/12/30 19:44:33.680, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:33.685, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:33.690, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:33.694, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:33.698, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:33.703, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:33.707, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:34.712, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:34.717, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:34.721, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:34.725, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:34.730, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:34.734, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:34.738, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:34.743, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:35.748, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:35.752, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:35.756, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:35.761, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:35.765, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:35.769, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:35.773, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:35.777, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:36.783, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:36.787, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:36.792, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:36.795, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:36.800, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:36.804, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:36.808, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:36.813, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:37.817, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:37.821, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:37.827, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:37.831, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:37.835, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:37.838, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:37.843, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:37.847, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:38.852, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:38.856, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:38.860, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:38.864, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:38.869, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:38.873, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:38.877, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:38.882, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:39.886, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:39.890, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:39.894, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:39.898, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:39.903, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:39.908, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:39.913, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:39.917, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:40.922, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:40.926, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:40.930, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:40.934, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:40.938, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:40.943, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:40.947, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:40.952, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:41.956, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
